Rank	Russian	English
2111	заболеть	get sick, fall ill, come down with
2112	хвалить	compliment, praise
2113	мускул	muscle
2114	произнести	pronounce, say, utter, articulate
2115	среда	Wednesday; environment, surroundings, milieu, medium
2116	чрезвычайный	extraordinary, extreme
2117	оказываться	turn out, be found, prove to be, appear
2118	ровно	equally, sharp, exactly, smoothly, absolutely, regularly, evenly
2119	ввести	bring in, introduce
2120	неприлично	indecently
2121	превосходительство	excellency
2122	дружеский	friendly
2123	обидеть	hurt
2124	заметно	it is noticeable, one can see, noticeably, appreciably
2125	смущение	confusion, embarrassment
2126	облокотиться	Appoggiare i gomiti
2127	совершенство	perfection
2128	золотой	gold, golden, or, gold coin, sovereign
2129	явление	phenomenon
2130	область	oblast, province, region; sphere, field (area of knowledge)
2131	опыт	experience; experiment, test, trial
2132	покорно	humbly, submissively, obediently
2133	торжественный	solemn, ceremonial, festive, gala
2134	поза	pose, attitude, posture
2135	белокурый	blond, fair, fair-haired
2136	соединение	joining, junction, combination, joint, compound, formation
2137	ступень	step, footstep, stage, degree, grade level
2138	карта	map, card
2139	суп	soup
2140	соус	sauce, gravy, dressing
2141	доставить	deliver, supply, furnish
2142	утешение	consolation, comfort; comfort, reassurance
2143	пахнуть	smell, reek, savour, smack, puff
2144	пожертвовать	endow, make a donation, give, sacrifice, offer, offer up
2145	относительно	relatively, concerning, relative to, about
2146	камень	stone, rock
2147	резкий	sharp, harsh, strongly-worded; sudden, rapid
2148	карьера	career
2149	беспокойство	anxiety, concern, uneasiness, nervousness, agitation, trouble
2150	обычай	custom, usage
2151	захотеть	want, like
2152	беспокоиться	worry, trouble, bother
2153	утешать	console, comfort
2154	нигде	nowhere
2155	орудие	instrument, implement, tool, piece of ordnance, gun
2156	столик	small table, counter; table at a restaurant
2157	благородный	noble
2158	разойтись	diverge, split up, beak up
2159	холостой	unmarried, single, idle, free-running, blank, blank-fire
2160	тайный	secret, covert, veiled, clandestine
2161	задрожать	begin to tremble, begin to shiver
2162	возвратиться	return
2163	пуговица	button
2164	склад	storehouse, depot, store, a lot of, constitution
2165	душенька	soul; dear, darling, sweetheart
2166	награда	reward, recompense, decoration, prize
2167	разлука	separation, parting
2168	столкнуться	bump into; run into
2169	обнимать	embrace
2170	отдых	rest, relaxation
2171	двинуться	move, advance
2172	пешком	on foot, afoot
2173	ненужный	unnecessary, needless, useless
2174	воспитывать	bring up, rear, educate, train, foster, cultivate
2175	оттуда	from there
2176	артель	artel
2177	вредный	mean; harmful, hurtful, unhealthy
2178	покровский	
2179	сообщиться	
2180	хвост	tail, train, brush, scut, end, tail-end, queue, line, arrears
2181	след	track, footprint, footstep, trace, sign, vestige, sole
2182	контора	office, bureau
2183	старинный	antique, age-old, old, old-fashioned; ancient
2184	повторение	repetition, reiteration
2185	совесть	conscience
2186	признание	acknowledgement/ recognition / confession / declaration
2187	нож	knife, table-knife, penknife, clasp-knife
2188	депеша	dispatch, telegram
2189	понимание	understanding, comprehension, interpretation
2190	пускать	let, allow; set in motion, put in action, set working
2191	вырвать	tear out, pull out; vomit, puke, throw up
2192	визит	visit, call
2193	замолкнуть	stop talking, lapse into silence, stop speaking, singing
2194	лечить	heal, treat
2195	унизительный	humiliating, degrading
2196	лить	pour, run, cast, mould, found
2197	поцелуй	kiss
2198	упоминание	mention, mentioning, allusion
2199	снизу	from below, from bottom, below, on the initiative of the masses
2200	бинокль	binocular, pair of glasses
2201	титулярный	
2202	советник	adviser, counsellor, councillor
2203	наказание	punishment, penalty
2204	пыль	dust, spray
2205	признаваться	confess, admit
2206	заложить	pawn; lay, create, establish
2207	бессмысленный	senseless, nonsensical, insensate, meaningless, unmeaning, foolish, inane, silly
2208	прижимать	press, clasp
2209	сочинение	composing, making, work, writing, composition, essay, co-ordination
2210	ребята	lads, boys; children, kids
2211	вальдшнеп	woodcock
2212	окончательно	finally, once and for all
2213	истина	truth
2214	песок	sand, sands, gravel
2215	кожа	skin, leather
2216	покачать	shake
2217	честолюбие	ambition
2218	липа	lime, linden, fake, forgery
2219	скачок	advance, leap
2220	вызов	challenge, call, summons, subpoena, challenge, defiance
2221	козел	he-goat, billy-goat; person - pejorative
2222	свойство	property, characteristics, relationship by marriage, affinity
2223	боком	sideways
2224	неясный	vague
2225	колебание	oscillation, vibration, fluctuation, variation, hesitation, wavering, vacillation
2226	вспомниться	
2227	гимназия	gymnasia
2228	малина	raspberries, raspberry, raspberry-cane
2229	соглашаться	consent, agree, assent, concur, concede
2230	принцип	principle
2231	ядовитый	poisonous, toxic, venomous
2232	архитектор	architect
2233	рождение	birth, delivery, birthday
2234	некрасивый	plain, not beautiful, not good-looking, ugly, not nice
2235	кисть	brush, tassel, cluster, bunch, hand
2236	грудной	pectoral
2237	содействовать	assist, help, further, promote contribute, make
2238	невидимый	invisible
2239	вынести	carry out; endure, bear
2240	калач	kalatch
2241	сознавать	be conscious, realize, recognize, acknowledge
2242	обыкновение	habit, custom
2243	перебивать	interrupt, spoil, kill
2244	придать	attribute, attach, assign, give; endow, confer, bestow, cause, give, make
2245	увезти	carry off, kidnap, abduct, steal, lift; take away
2246	свежесть	freshness, coolness, crispness
2247	тронуться	be touched, go bad
2248	любовный	love, amorous, loving
2249	завести	to get, acquire, have
2250	почтительный	respectful, deferential, considerable
2251	служащий	employee, office worker, white-collar worker
2252	добиться	to achieve, to attain, to get, to reach
2253	отвориться	
2254	ступенька	step, rung
2255	воротник	collar
2256	адъютант	aide-de-camp, adjutant, aide
2257	элегантный	elegant, smart
2258	собрание	meeting, gathering, assembly, collection
2259	коротко	briefly, in brief, intimately; short
2260	земство	Zemstvo
2261	увидеться	see each other
2262	оправиться	recover, pick up, put in order
2263	поэтический	poetic
2264	чулок	stocking
2265	выдать	to issue, give out; reveal, give up
2266	выдающийся	remarkable
2267	намереваться	intend, be about, mean
2268	философский	philosophical
2269	животное	animal, beast, brute
2270	ощущение	feeling; sensation
2271	результат	result, outcome
2272	уничтожить	annihilate, destroy, obliterate
2273	бо	
2274	дорожка	path, walk, strip of carpet, stair-carpet, runner, track, lane, band
2275	сани	sledge, sleigh, toboggan, luge
2276	открыться	to open; to be opened
2277	избранный	select, the elite
2278	независимо	independently
2279	панталоны	trousers, drawers, knickers, panties
2280	кроткий	gentle, meek, mild
2281	расти	increase, grow, rise
2282	медведь	bear
2283	непривычный	unused, unaccustomed, unwonted, unusual
2284	удержаться	restrain one's self, help it, control one's self
2285	приказание	order, injunction, bidding
2286	налево	to the left, on the side
2287	найтись	be found, turn up, find the right word to say, find the right thing to do, be, walk for a long time, tire oneself by walking
2288	сиятельство	Excellency
2289	расходиться	diverge, split up, beak up
2290	знак	sign, token, symbol, mark, omen, signal
2291	поесть	eat, take some food
2292	сыр	cheese
2293	рюмка	shot glass
2294	умиление	tender emotion
2295	появиться	appear, show up, emerge
2296	благословить	bless
2297	любящий	loving, affectionate
2298	неловкость	awkwardness, clumsiness, blunder, gaffe
2299	ревнивый	jealous
2300	устраивать	arrange, organize, establish, make, settle, put in order, place, fix up, set up, suit, be convenient
2301	решаться	decide, determine, resolve, bring oneself, be determined, venture
2302	ласкать	caress, fondle, pet
2303	болезненный	painful
2304	торжествовать	celebrate, triumph, be triumphant, exult, crow
2305	свезти	
2306	раскрыть	open, expose, reveal, disclose, lay bare, discover
2307	корпус	body, trunk, torso, hull, building, corps, case, frame, long primer
2308	привязать	tie, bind, fasten, tether, attach
2309	рассчитывать	count on, rely on, expect; calculate, estimate
2310	мешок	bag, sack, pocket, clumsy fellow
2311	отделение	separation, compartment, section, pigeon-hole, department, branch, part, squad
2312	фуражка	peaked cap, service cap
2313	двести	two hundred
2314	кусок	piece, bit, lump, cake, slice; grand (one thousand of some currency)
2315	задумчиво	pensively
2316	настолько	so, thus
2317	помириться	be reconciled, make it up, reconcile oneself, resign oneself
2318	услышать	hear
2319	кадриль	quadrille
2320	пояс	belt, girdle, sash, waistband, waist, zone
2321	гадко	naughty
2322	нумера	
2323	раздражительный	irritable, short of temper, short-tempered, petulant
2324	поспешить	hurry, make haste, hasten, be fast
2325	сосед	neighbour
2326	экономический	economic
2327	вечный	eternal, everlasting, perpetual
2328	убежденный	convinced
2329	даром	for nothing, gratis, free, for next to nothing, for a trifle, for a song, in vain, to no purpose
2330	стадо	herd, flock; flock of sheep
2331	семь	seven, 7
2332	портить	spoil, corrupt, mar
2333	похоже	probably; it seems
2334	бить	to beat, hit, strike; to chime
2335	жара	heat
2336	холод	cold, coldness, cold weather
2337	жарко	it is hot, hotly
2338	разочарование	frustration
2339	важность	importance, significance, self-importance, pompousness
2340	удар	blow /kick  stroke, impact, stab, lash, slash, kick, punch, cuff
2341	преимущественно	mainly, chiefly
2342	веровать	believe
2343	великодушный	magnanimous, generous
2344	преступление	crime, offence, felony
2345	являться	is
2346	возить	to transport/carry (by vehicle)
2347	мужской	Adjective of мужчина, masculine, male
2348	доход	income, profit, return, receipts
2349	записать	write down, put down, take down, note, jot down, record, enter
2350	талант	talent, gift, man of talent, gifted person, great talent
2351	последствие	consequence, sequel, after-effects
2352	присоединиться	join
2353	проект	project, design, scheme, draft
2354	поручить	charge, commission, entrust
2355	рана	wound, injury
2356	зелень	greenery, verdure, greens, vegetables, green, vert
2357	плотник	carpenter
2358	плуг	plough
2359	семя	seed, semen, sperm
2360	некстати	inopportunely, malapropos, irrelevantly, out of place, ineptly
2361	свести	take, reduce, reduce to zero, remove, trace
2362	видеться	see each other
2363	изба	cottage, hut
2364	голодный	hungry
2365	балкон	balcony
2366	окружать	surround, gather round, encircle, ring in, round up
2367	нахмурить	
2368	оттенок	tinge, nuance, shade, tint, hue, inflection
2369	занятой	very busy
2370	огорчение	grief, chagrin
2371	естественно	naturally, of course
2372	летний	Adjective of лето, summery, summer-like
2373	трогательный	touching, moving, affecting, pathetic
2374	марь	
2375	госпожа	lady, Miss, Madame, Mademoiselle, Signora, Signorina, Frau, Fraulein, mistress
2376	тяготиться	feel something as a burden
2377	широко	wide, widely, broadly
2378	дешевый	cheap, inexpensive, low
2379	дворник	Janitor, street cleaner, windscreen wiper
2380	шлюпик	
2381	пчельник	bee-garden, apiary
2382	христианин	Christian
2383	душить	smother, stifle, strangle, throttle, oppress, repress, suppress, choke, suffocate, dab scent, spray, splash
2384	вред	harm, hurt, injury, damage
2385	мельница	mill
2386	свод	arch, vault, code
2387	лавка	bench, shop, store; Long seat without a back
2388	итальянский	Italian
2389	дьякон	deacon
2390	бегать	run, run about, be shifty, rove
2391	надолго	for a long time
2392	подарок	present, gift
2393	висеть	to be hanging
2394	халат	dressing-gown, oriental robe, overall; bathrobe
2395	оправдываться	justify oneself, come true
2396	смутно	vaguely, dimly
2397	ай	
2398	уныло	despondently, dolefully, dejectedly
2399	папироса	cigarette
2400	бумажник	paper-maker, paper-mill worker, wallet, pocket-book
2401	душистый	fragrant, sweet-scented
2402	продажа	sale, selling
2403	политика	politics, policy
2404	масло	butter, oil; oil painting
2405	меньшой	younger
2406	гладкий	smooth, sleek, well-nourished, plain, unfigured, unprinted, facile, fluent
2407	раковина	shell, blister, bleb, sink, wash-bowl, bandstand
2408	тщетно	vainly, in vain
2409	оглядеть	examine, look over
2410	нервный	nervous, neural
2411	отсюда	from here, hence
2412	спинка	back
2413	погибнуть	get killed, die
2414	выразиться	express oneself, manifest itself, swear
2415	сжать	to squeeze, clench, compress
2416	небольшой	small, not great, short
2417	шурин	brother-in-law
2418	румянец	colour, flush, blush
2419	доклад	lecture, report, conference paper
2420	шапка	cap, banner headline; winter cotton warmer hat
2421	пункт	point, station, paragraph, item, plank
2422	удивиться	to be surprised
2423	шутя	in jest, for fun, jokingly, facetiously, easily
2424	ноготь	nail, finger-nail, thumb-nail, toe-nail
2425	барышня	young mistress, girl, young lady, miss
2426	туго	tight, with difficulty, slowly
2427	директор	director, manager, head, principal, head master, head mistress
2428	постройка	building, erection, construction
2429	годиться	be fit, serve, do, be of use, fit
2430	возникнуть	arise, spring up, crop up, appear
2431	основа	base, basis, foundation, principles, fundamentals, warp, stem
2432	связывать	tie together, bind; connect
2433	недоступный	inaccessible, unavailable
2434	поворот	turn, bend, curve, change, turning-point
2435	каблук	heel
2436	научить	teach
2437	холодность	coldness
2438	сияние	radiance, aureole, aureola
2439	вертеться	turn, revolve, spin, fidget, dodge, prevaricate, hover about
2440	евангелие	the Gospel
2441	факт	fact, case
2442	сближение	rapprochement, approach, closing in, intimacy
2443	обходить	go around, travel around, get around; evade, circumvent
2444	подчиняться	submit, obey
2445	поворачиваться	turn, swing, change
2446	тишина	silence
2447	грация	grace, Grace, corset
2448	постоянный	constant, invariable, permanent
2449	соперник	rival
2450	подбородок	chin
2451	переводить	transfer, move, take, remit, send through the bank, convert, move up into the next form, translate, interpret, exterminate, use up, dissipate, squander
2452	допускать	allow, permit; acknowledge, concede, admit
2453	преследовать	pursue, chase, be after, haunt, persecute victimize, prosecute, strive
2454	наслаждаться	revel, enjoy
2455	подозревать	suspect
2456	рассеянно	absentmindedly
2457	неудача	failure, misfortune, rebuff, reverse
2458	дождаться	wait till, end
2459	отогнать	
2460	давнишний	
2461	вьющийся	
2462	сель	mud flows, mud-torrents
2463	гадость	muck, filth, vile act, dirty trick
2464	унизить	humble, humiliate, abase, belittle
2465	любя	
2466	блаженный	blissful, blessed
2467	полно	fully; brim-full, full to the brim
2468	талия	waist, two packs of playing cards
2469	отвести	lead, take, parry, ward off, remove, reject, challenge, allot, set aside
2470	возбуждение	excitation, excitement, agitation
2471	бросать	throw, hurl, fling, chuck, throw about, cast, dart, abandon, forsake, relinquish, give up, leave off
2472	период	period, spell, age
2473	неправый	unjust, wrong
2474	народный	popular, folk, national
2475	сообразить	figure out
2476	нездоровый	unhealthy, sickly, unwholesome, morbid
2477	заблуждение	error, delusion
2478	протягивать	stretch, reach out, stretch out, extend, offer, proffer, drawl, prolong
2479	разделять	divide, separate, part, share
2480	песня	song
2481	верховой	rider, dispatch rider, up-river
2482	несправедливость	injustice, unfairness
2483	мечтать	dream
2484	падение	fall, collapse, drop, sinking, downfall, degradation, incidence, dip
2485	благополучно	all right, well, happily
2486	скотный	
2487	подвинуть	push, move, advance, push forward, move a little
2488	пристально	fixedly, intently
2489	болеть	be ill; be sick
2490	чепчик	night cap, bonnet
2491	верхом	astride, on horseback, to the brim, brim-full
2492	овладеть	capture, seize, master, become proficient
2493	наполнить	fill
2494	отворять	open
2495	ванна	bath; bathtub
2496	неудовольствие	displeasure
2497	центр	center, centre
2498	напиться	get drunk, get tight
2499	задумчивый	thoughtful, pensive, given to reflection, despondent
2500	измучить	torture, weary, tire out, exhaust
2501	славянский	Slavonic, Slavic
2502	сфера	sphere, realm
2503	пропускать	miss, skip, let go past, let pass, make way, let through, let in, admit, let out, omit, leave out, drink, absorb
2504	придворный	court, courtier
2505	каска	helmet
2506	намеренный	intentional, deliberate, premeditated
2507	потребовать	demand, need, require, call, expect, summons
2508	охотничий	hunting, shooting, sporting
2509	подозрение	suspicion
2510	мост	bridge
2511	изложить	set forth, state, give an account, expound
2512	скарлатина	scarlet fever, scarlatina
2513	избавить	save, deliver
2514	барьер	barrier, bar, hurdle
2515	грусть	melancholy, sadness
2516	ближний	near, neighbouring
2517	ладонь	palm (of the hand)
2518	питие	
2519	насмешливо	derisively
2520	темнота	dark, darkness, ignorance, obscurity
2521	оттолкнуть	push away, repel, repulse, spurn, alienate, antagonize
2522	окружающий	surrounding, milieu, social surroundings
2523	нетерпение	impatience
2524	теория	theory
2525	открываться	open, come to light, be revealed, confide
2526	пахать	plough, till; slave away
2527	сеять	sow, drill, lose
2528	спустить	lower, down, launch, release, let out, drain, send sown, send out, pardon, squander, dissipate, impose
2529	пятнадцать	fifteen
2530	березовый	Adjective of берёза
2531	венец	Viennese, crown, wreath, corona, row of logs
2532	синий	dark blue
2533	молния	lightning; zipper, zip-fastener
2534	ствол	gun; trunk, stem, bole, barrel, mine shaft, tube, pipe
2535	сельский	rural
2536	вожжа	rein
2537	праздный	idle, useless, unnecessary
2538	усовершенствование	improvement, perfection
2539	брянский	
2540	издалека	from far away, from afar
2541	нарядный	smart, well-dressed
2542	рыжий	red, red-haired, ginger, chestnut, rust-coloured, reddish-brown, circus clown
2543	вытянуть	draw out, extract, stretch, pull out, hold out
2544	непонятно	it is incomprehensible, it is impossible to understand, incomprehensibly
2545	выпускать	let out, release, set free; to graduate
2546	поспеть	ripen
2547	жеребец	stallion, colt
2548	получение	receipt
2549	семнадцать	seventeen
2550	седьмой	seventh
2551	капля	drop, drops, a bit, a grain, a little
2552	прислуга	servant, maidservant, maid, domestics, household servants, crew
2553	определенно	definitely
2554	выписать	extract, copy out, write out, trace out, write, order, subscribe, send, discharge, strike off the list
2555	г	
2556	позорный	disgraceful, shameful
2557	палка	stick, walking-stick, cane, staff
2558	восхищаться	admire, marvel at
2559	сострадание	compassion
2560	очнуться	wake, come to oneself, come to, regain consciousness
2561	осторожный	careful, cautious, wary, prudent
2562	напрягать	strain
2563	жар	heat, ardour, fever, embers
2564	муха	fly
2565	соображать	think clearly, figure out, understand
2566	верх	top
2567	недовольно	unhappy, displeased
2568	догадаться	guess, suspect, surmise, conjecture
2569	отсутствие	lacking of
2570	достигнуть	reach, attain, achieve, mount
2571	кончаться	end, finish, come to an end
2572	нерешительность	indecision
2573	угроза	threat, menace
2574	сущность	essence, main point
2575	покойный	late
2576	рента	rent, rente
2577	пятно	spot, patch, blot, stain, blemish, stigma
2578	ненатурально	
2579	сумасшедший	lunatic, madman, mentally ill person, madwoman; crazy, mad, insane
2580	неторопливо	
2581	м	
2582	бессознательно	unconsciously, instinctively
2583	приданое	dowry, trousseau, layette
2584	неверие	disbelief, lack of faith
2585	побыть	stay
2586	студия	studio, workshop, school
2587	посетитель	visitor, caller, guest
2588	техника	engineering, technics, technique, equipment, machinery, materiel; electronics
2589	белье	laundry, linen, washing
2590	осока	sedge, carex
2591	строение	structure, texture, grit, building, construction
2592	неведовский	
2593	воркуесть	
2594	пружина	spring
2595	полоса	stripe, strip, band, flat bar, wale, weal, region, zone, belt, period, field, patch, type page
2596	собственный	own
2597	отрекаться	renounce, disavow, repudiate
2598	предоставлять	let, give, grant, provide
2599	хитрый	sly, cunning, artful, intricate, involved, skilful, resourceful
2600	воскресение	resurrection, revival
2601	покупать	buy, purchase, bathe, bath
2602	уронить	drop, let fall, shed, moult
2603	здороваться	say how do you do, greet, hail
2604	конфета	sweet, bon-bon, sweetmeats, candy
2605	починить	repair, mend, point, sharpen, cause, put in the way
2606	папироска	
2607	закурить	begin to smoke; light up
2608	презрительный	contemptuous, scornful, disdainful
2609	удивить	surprise, astonish, amaze
2610	любовница	mistress
2611	докончить	finish, end
2612	приобрести	acquire, gain, buy, purchase
2613	подчиненный	under, under the command of, subordinate
2614	портфель	briefcase, bag, portfolio
2615	закладывать	put, lay, install, mislay, pile up, heap, pawn, mortgage, hypothecate, harness horses
2616	затворить	close, shut
2617	участвовать	participate
2618	пустяк	something unimportant, trifle
2619	деятель	public figure
2620	опека	guardianship, wardship, tutelage, trusteeship, guardians, Board of guardians, care, surveillance
2621	европейский	European
2622	мужественный	courageous, manly, steadfast
2623	доставать	get, obtain; take
2624	возвышенный	high, elevated, lofty, exalted, sublime
2625	вскоре	soon, shortly after, before long
2626	дипломат	diplomat, diplomatist
2627	достойный	worthy
2628	видаться	see, meet, see each other
2629	флигель	wing, outbuilding, outhouse
2630	разъяснить	explain, interpret
2631	возражение	objection, retort
2632	близко	near, close by, nearly
2633	вытекать	flow, stream, leak
2634	материнский	maternal, motherly
2635	называться	be called, assume the name
2636	головка	leadership, heads, big shots, head, vamp
2637	свободно	freely; easily
2638	девичий	girlish, maidenly
2639	умиленный	touched, moved
2640	фальшивый	false, spurious, forged, artificial, imitation, insincere
2641	сухо	it is dry, drily, coldly
2642	загладить	press, make amends, make up, expiate
2643	сдержать	hold in, keep back, restrain, hold in check, contain, deter, hold, keep in, suppress, check
2644	светиться	shine
2645	мгновенно	instantly, in a trice, in a moment
2646	отдельный	separated, detached, independent
2647	классический	classic
2648	отвлечь	divert, distract, draw away, abstract, segregate
2649	собеседник	interlocutor; conversation partner
2650	отталкивать	push away, repel, repulse, spurn, alienate, antagonize
2651	насквозь	through, throughout
2652	тонко	thinly, subtly
2653	объясниться	explain, be explained, be accounted for, have a talk, have it out, speak
2654	выдавать	issue, grant; reveal, give-up, betray
2655	передумать	change one's mind; do a great deal of thinking
2656	столкновение	collision, clash
2657	чистота	cleanness, neatness, cleanliness, purity
2658	отправляться	start, leave, depart, go, make, betake oneself, proceed
2659	успокоение	calming, quieting, soothing, calm, quiet
2660	голубчик	my dear fellow, my friend, my lad
2661	шутить	joke, jest, make fun, play a joke, be in jest, be funny, fool, trifle, play
2662	крошечный	Tiny
2663	шуточный	comic, facetious, trifling
2664	невысокий	not high, low, short, shortish, not tall
2665	умолкать	lapse into silence, stop
2666	поклон	bow
2667	перенестись	be carried, be carried away
2668	рельс	rail, rails, metals
2669	свист	whistle, singing, piping, whine, whizz
2670	сочувствие	sympathy
2671	остановка	stop, stoppage, station
2672	старушка	old lady, old woman, old dame
2673	милость	mercy, charity, favour, grace, good deed
2674	оторвать	tear off, tear away, rip off
2675	убитый	depressed, crushed, dead man, the killed
2676	поднос	tray, salver
2677	невестка	daughter-in-law, sister-in-law
2678	трудиться	work, toil, labour, fag
2679	поздравлять	congratulate
2680	перевести	Translate
2681	гардина	curtain
2682	вечерний	evening
2683	захотеться	to want
2684	поравняться	come alongside, come up
2685	заезжать	call in on the way, get, reach, fetch, collect, strike
2686	переглянуться	exchange glances
2687	висок	temple
2688	кучка	small group
2689	обряд	rite, ceremony
2690	проиграть	to lose, be defeated
2691	заглянуть	peep in, glance, look in, drop in, call
2692	капитал	capital
2693	давить	press, lie heavy, crush, press, squeeze
2694	вздох	deep breath, sigh
2695	наливать	pour out, fill
2696	шампанское	champagne, fizz
2697	уговаривать	persuade, talk into, convince
2698	выскочить	jump out, leap out, spring out, dart out, fall out, drop out
2699	мелькнуть	flash, gleam, appear for a moment
2700	ловкий	adroit, dexterous, deft, crafty, cunning, never at a loss, comfortable
2701	стыдный	shameful
2702	снятой	taken, filmed, photographed
2703	спуститься	go down
2704	усилиться	
2705	собрать	gather, collect, convoke, assemble, equip, make gathers
2706	связанный	connected (with something); constrained (by something)
2707	хлопоты	trouble, efforts, cares, bustle, fuss
2708	причесать	
2709	фамилия	last name, family name
2710	родить	give birth, give rise, bear
2711	замереть	Freeze / stand still, sink, stop beating, die away, die down
2712	поздний	late, tardy
2713	остаток	remainder, rest, residue, remnant, remains, leavings, leftovers, residuum, balance
2714	ощупывать	feel
2715	покориться	
2716	глава	head, chief, cupola, chapter
2717	выставить	put out, stick out, expose; kick out
2718	немецкий	German
2719	притвориться	pretend
2720	продавать	sell, sell out
2721	раскаяться	repent
2722	поверь	
2723	пренебречь	neglect, disregard, scorn, ignore, despise
2724	жестокость	cruelty, brutality, severity, savageness
2725	таять	melt, thaw, melt away, wane, dwindle, waste away, pine, languish
2726	грубость	roughness, coarseness, crudity, crudeness, rudeness
2727	умно	it is wise, cleverly, wisely, sensibly
2728	мучаться	
2729	успокоивать	
2730	ложиться	lie down; go to bed
2731	ключ	key, clue, clef, source, spring
2732	договорить	finish
2733	требоваться	need, require, take
2734	челюсть	jaw, maxilla
2735	наступать	step on; arrive (in time), come (in time), set in, begin
2736	отречься	renounce, disavow, repudiate
2737	сообщение	message; message
2738	ночью	
2739	надвинуться	
2740	босой	barefooted, bare
2741	соха	wooden plough
2742	знающий	learned, scholarly, erudite, skilful, competent, able
2743	задать	give, set, pose, ask
2744	послезавтра	the day after tomorrow
2745	пространство	space
2746	картофель	potatoes, potato plant
2747	четверть	a quarter, a fourth, crotchet, term
2748	кверху	up, upwards
2749	варение	
2750	охотно	willingly, readily, gladly
2751	промах	miss, slip, blunder
2752	ловить	catch, pick up
2753	вверх	up, upwards, upstream
2754	ягдташ	
2755	убедить	convince, persuade
2756	побывать	be somewhere, make an official visit as an official, visit as a tourist
2757	зад	back part, back, seat, bottom, hind quarters, rump, croup
2758	рубаха	shirt
2759	передавать	transmit, pass, reproduce, communicate
2760	аппетит	appetite, relish
2761	разуметь	understand, mean
2762	неудержимо	
2763	подтверждение	confirmation, corroboration
2764	коситься	look sideways, look with an unfavourable eye, look askance
2765	переложить	
2766	лекарство	medicine, drug
2767	чужое	
2768	живот	stomach, belly, abdomen, life, animals
2769	выглянуть	look out, peep out, emerge
2770	уяснить	size up, make out, understand
2771	вопросительный	interrogative, inquiring, questioning, of inquiry
2772	побледнеть	pale, pule
2773	выводить	take out, lead out, help out, make go out, turn out, withdraw, call off, remove, extirpate, destroy, exterminate, conclude, infer, depict, portray, grow, raise, hatch
2774	предоставить	let, give, grant
2775	шестой	sixth
2776	корд	cord
2777	высовываться	lean out, hang out, show oneself
2778	сдерживать	hold in, keep back, restrain, hold in check, contain, deter, hold, keep in, suppress, check
2779	миновать	pass, be over
2780	удобный	comfortable, handy, cosy, convenient, opportune
2781	мысленно	mentally
2782	перегнуться	
2783	возразить	object, raise an objection, take exception, return, rejoin, retort
2784	противоположность	contrast, opposition, opposite, antipode, antithesis
2785	любопытство	curiosity
2786	ангел	angel
2787	дичь	game, gamebird, wildfowl, wilderness, nonsense, rubbish, rot
2788	обещание	promise
2789	рожь	rye
2790	пример	example, instance
2791	этак	so, in this manner, thus
2792	вишь	
2793	визг	squeal, screech
2794	задыхаться	choke, suffocate, pant, be strangled, gasp
2795	услуга	service, favor
2796	гимнастика	gymnastics
2797	путем	by means of, by dint of, properly
2798	расправлять	straighten, smooth out, stretch
2799	слух	rumour, hearsay; hearing, sense of hearing
2800	посвятить	devote, dedicate, let, initiate, ordain, consecrate
2801	победа	victory, triumph
2802	расстройство	disorder, disarray, discomposure, derangement, frustration
2803	учтивость	
2804	законный	legal, lawful, valid, legitimate
2805	соединиться	
2806	вложить	Invest, insert, put in
2807	отдел	department, section
2808	приносить	bring, fetch, yield, bring in
2809	разрыв	break, gap, rupture of blood-vessel, burst, explosion
2810	противник	enemy, opponent, antagonist, adversary
2811	убыток	loss
2812	предел	limit, bound, end
2813	акушерка	midwife
2814	камергер	chamberlain
2815	стрелять	shoot, fire, fire a shot, cadge
2816	аналой	lectern
2817	палаццо	
2818	недолго	not long
2819	бесконечный	endless, infinite, interminable
2820	земледелие	agriculture, farming
2821	воздвиженский	
2822	неведовской	
2823	баллотировать	vote, ballot
2824	турок	Turk
2825	случайно	by chance, by accident, accidentally, by any chance
2826	потерянный	lost; embarrassed, perplexed
2827	туфля	shoe (high heels)
2828	вечно	forever
2829	уличить	establish the guilt, expose
2830	оскорбиться	
2831	умерший	the dead, the departed, the deceased, the defunct
2832	шелковый	silk
2833	бодрый	cheerful, brisk, fresh
2834	сбираться	
2835	высунуться	eject, leaned out
2836	разумный	reasonable, judicious, wise, clever
2837	подразумевать	imply, mean
2838	порода	race, breed, species, kind, sort, type, rock
2839	элемент	element, cell
2840	сведение	information, intelligence, knowledge, reduction, contraction, cramp
2841	английски	
2842	камин	fireplace, fire-place; chimney
2843	погладить	to iron, press; stroke, pet
2844	почерк	handwriting
2845	затылок	back of the head, occiput, neck
2846	измученный	exhausted, worn out
2847	захватить	capture, seize; to bring along, take along
2848	горло	throat, neck, narrow entrance to a gulf, bay
2849	пронзительный	shrill, sharp, piercing, strident
2850	невыразимый	inexpressible, beyond expression
2851	отстраниться	
2852	опускать	lower, sink, pull down, omit, turn down
2853	отереть	wipe, wipe dry
2854	обойтись	do without; cost
2855	треть	one third
2856	следовательно	consequently, therefore, hence
2857	дружелюбно	
2858	увлекаться	to take an interest in; be carried away, take a great, go mad, take a fancy, be enamoured, fall
2859	развлечение	entertainment, amusement, relaxation, diversion
2860	различный	various, diverse
2861	писатель	writer, author
